"Branch","Rating","Review_ID","Review_Text","Reviewer_Location","Year_Month","annotation_id","annotator","created_at","id","lead_time","sentiment","updated_at"
"Disneyland_HongKong",4,670772142,"If you've ever been to Disneyland anywhere you'll find Disneyland Hong Kong very similar in the layout when you walk into main street! It has a very familiar feel. One of the rides  its a Small World  is absolutely fabulous and worth doing. The day we visited was fairly hot and relatively busy but the queues moved fairly well. ","Australia","2019-4",39,"1","2024-08-11T13:16:09.560830Z",42695,31.531,"Positive","2024-08-11T13:16:09.560830Z"
"Disneyland_HongKong",4,670682799,"Its been a while since d last time we visit HK Disneyland .. Yet, this time we only stay in Tomorrowland .. AKA Marvel land!Now they have Iron Man Experience n d Newly open Ant Man n d Wasp!!Ironman .. Great feature n so Exciting, especially d whole scenery of HK (HK central area to Kowloon)!Antman .. Changed by previous Buzz lightyear! More or less d same, but I'm expecting to have something most!!However, my boys like it!!Space Mountain .. Turns into Star Wars!! This 1 is Great!!!For cast members (staffs) .. Felt bit MINUS point from before!!! Just dun feel like its a Disney brand!! Seems more local like Ocean Park or even worst!!They got no SMILING face, but just wanna u to enter n attraction n leave!!Hello this is supposed to be Happiest Place on Earth brand!! But, just really Dont feel it!!Bakery in Main Street now have more attractive delicacies n Disney theme sweets .. These are Good Points!!Last, they also have Starbucks now inside the theme park!!","Philippines","2019-5",40,"1","2024-08-11T13:16:12.151238Z",42696,1.543,"Positive","2024-08-11T13:16:12.151238Z"
"Disneyland_HongKong",4,670623270,"Thanks God it wasn   t too hot or too humid when I was visiting the park   otherwise it would be a big issue (there is not a lot of shade).I have arrived around 10:30am and left at 6pm. Unfortunately I didn   t last until evening parade, but 8.5 hours was too much for me.There is plenty to do and everyone will find something interesting for themselves to enjoy.It wasn   t extremely busy and the longest time I had to queue for certain attractions was 45 minutes (which is really not that bad).Although I had an amazing time, I felt a bit underwhelmed with choice of rides and attractions. The park itself is quite small (I was really expecting something grand   even the main castle which was closed by the way was quite small).The food options are good, few coffee shops (including Starbucks) and plenty of gift shops. There was no issue with toilets as they are everywhere.All together it was a great day out and I really enjoyed it.","United Arab Emirates","2019-4",41,"1","2024-08-11T13:16:20.089424Z",42697,4.282,"Positive","2024-08-11T13:16:20.089424Z"
"Disneyland_HongKong",4,670607911,"HK Disneyland is a great compact park. Unfortunately there is quite a bit of maintenance work going on at present so a number of areas are closed off (including the famous castle) If you go midweek, it is not too crowded and certainly no where near as bus as LA Disneyland. We did notice on this visit that prices for food, drinks etc have really gone through the roof so be prepared to pay top dollar for snacks (and avoid the souvenir shops if you can) Regardless, kids will love it.","Australia","2019-4",42,"1","2024-08-11T13:16:22.584833Z",42698,1.669,"Positive","2024-08-11T13:16:22.584833Z"
"Disneyland_HongKong",4,670607296,"the location is not in the city, took around 1 hour from Kowlon, my kids like disneyland so much, everything is fine.   but its really crowded and hot in Hong Kong","United Kingdom","2019-4",43,"1","2024-08-11T13:16:25.175900Z",42699,1.764,"Positive","2024-08-11T13:16:25.175900Z"
"Disneyland_HongKong",3,670591897,"Have been to Disney World, Disneyland Anaheim and Tokyo Disneyland but I feel that Disneyland Hong Kong is really too small to be called a Disneyland. It has way too few rides and attractions. Souvenirs, food and even entrance tickets are slightly more expensive than other Disneyland as well. Basically, this park is good only for small children and people who has never been to Disney. The food choices were acceptable, mostly fast food, and not too expensive. Bottled water, however, was VERY expensive but they do have water fountains around for you to refill your water bottles. The parade was pretty good. It was crowded not a problem but what was the problem was the people were just so rude, the pushing and shoving cutting in lines for the rides, gift shops, food stands was just to much to take. forget trying to see one of the shows its a free for all for seats, i don't see how Disney can let this happen, it was by far the worst managed Disney property.","Singapore","2019-4",44,"1","2024-08-11T13:16:53.158862Z",42700,26.19,"Negative","2024-08-11T13:16:53.158862Z"
"Disneyland_HongKong",5,670585330,"Great place! Your day will go by and you won't even know it. Obviously went there for my daughter and she absolutely loved it! Too bad the parade got canceled though.","India","2019-4",45,"1","2024-08-11T13:17:18.306865Z",42701,9.95,"Positive","2024-08-11T13:17:18.306865Z"
"Disneyland_HongKong",3,670574142,"Think of it as an intro to Disney magic for the little ones. Almost all of the attractions can be completed in 1.5days.One drawback was the timing. For example, Disney's Storybook Theatre is closed Wed Thu for private events. Some restaurants close mid week Tue Thur as well. So best not to plan your visit during mid week.The biggest disappointment is the food at the Park. Even Maxim's is so so only. The only decent Restaurant is Main Street Corner Cafe and the Main Street Bakery. And do be prepared for the typical abrupt HongKong style service from the serving staff.","Malaysia","2019-3",46,"1","2024-08-11T13:17:27.135039Z",42702,7.239,"Negative","2024-08-11T13:17:27.135039Z"
"Disneyland_HongKong",2,670571027,"Feel so let down with this place,the Disneyland train was fantastic until you get past the station,bad signage, terrible staff who just did not want to be there ,it was rainning and rides were not working could not find a map of place, over priced fun park. Disney characters only 2 seen under a cabana having photos with visitors queuing up in the rain. Dont waste your money. Walt Disney would be horrified, not enough eating places for the amount of people or rest rooms. Seems they are building something but who knows what. No atmosphere of fun and fantasy. ","Australia","2019-4",47,"1","2024-08-11T13:17:29.559249Z",42703,1.637,"Negative","2024-08-11T13:17:29.559249Z"
"Disneyland_HongKong",5,670570869,"I can go on talking about Disneyland. Whatever I say about it, is less. Disneyland is all about your childhood dreams come true. Starting from the Entrance, the environment, popcorn, the shows, everything. Even the MTR Trains and the station is specially designed. In my opinion one should by a Two Day Ticket to explore it well if you have time. Else few of the attractions may remain incomplete in one day. An online Two Day Ticket can save around HKD 100 in comparison to an on spot ticket.  Must NOT Miss  attractions include the Jungle River Cruise, Micky's Phillhar Magic (a 4D Show), The Lion King ShowIt is better to have some home work regarding the Show Timings so that you can maximise the number of shows you can cover. It is better to avoid Sundays or the public holidays to avoid rush.","India","2019-3",48,"1","2024-08-11T13:17:32.512867Z",42704,1.723,"Positive","2024-08-11T13:17:32.512867Z"
